DA_ID,Median_Household_Income,latitude,longitude
35200093,60032,43.800959999999996,-79.287898
35200094,28915,43.81608,-79.298273
35200095,63360,43.804543,-79.285873
35200096,71424,43.807308,-79.286045
35200097,83712,43.805714,-79.284035
35200099,67072,43.806365,-79.281083
35200100,68352,43.805417999999996,-79.28014399999999
35200101,69632,43.812963,-79.282775
35200102,71936,43.815737,-79.273866
35200103,86912,43.814113,-79.27301700000001
35200104,76186,43.819052,-79.274477
35200105,83371,43.81937,-79.281216
35200106,71936,43.821814,-79.27829399999999
35200107,77568,43.822311,-79.283559
35200108,80384,43.823756,-79.28410699999999
35200109,92032,43.826071999999996,-79.28109599999999
35200110,69760,43.826079,-79.284235
35200111,85248,43.827579,-79.28410699999999
35200112,73472,43.826049,-79.28864300000001
35200114,73216,43.822672999999995,-79.287976
35200115,82432,43.819515,-79.289775
35200116,65792,43.819348,-79.292049
35200117,61760,43.822069,-79.293913
35200118,81920,43.825613,-79.29463100000001
35200119,69504,43.825982,-79.29175500000001
35200120,67712,43.814581,-79.28945300000001
35200121,73984,43.816592,-79.291035
35200123,71424,43.816136,-79.28461800000001
35200124,67456,43.812038,-79.290205
35200125,62592,43.811209000000005,-79.287651
35200126,78592,43.828864,-79.27780600000001
35200127,72704,43.827825,-79.276884
35200128,72192,43.827278,-79.27135
35200133,71680,43.82291,-79.268351
35200134,86016,43.821303,-79.272323
35200135,77312,43.820510999999996,-79.26736
35200136,72704,43.821696,-79.264324
35200137,80384,43.824974,-79.26509
35200138,60800,43.824503,-79.267832
35200139,69760,43.820912,-79.26480699999999
35200140,86272,43.819016999999995,-79.269419
35200141,81408,43.816789,-79.26374200000001
35200142,75008,43.815359,-79.260968
35200143,78144,43.807006,-79.301765
35200144,62848,43.805623,-79.304236
35200145,64128,43.80328,-79.299992
35200146,59520,43.801736,-79.299915
35200147,76160,43.799046999999995,-79.29770699999999
35200148,70400,43.796362,-79.300206
35200149,59136,43.795046,-79.303187
35200150,33429,43.798518,-79.304449
35200161,66688,43.802071000000005,-79.321525
35200162,72448,43.799959,-79.321209
35200163,98048,43.801928000000004,-79.324804
35200164,105216,43.802741999999995,-79.327612
35200165,91392,43.806048,-79.330415
35200166,92288,43.80655,-79.325274
35200167,82688,43.809549,-79.32753000000001
35200173,73984,43.817042,-79.32694000000001
35200174,89344,43.81776,-79.32810699999999
35200175,83712,43.814962,-79.32909599999999
35200176,79616,43.816406,-79.333422
35200177,78592,43.815424,-79.335364
35200178,87296,43.809622999999995,-79.331869
35200179,29888,43.807602,-79.33500500000001
35200180,56704,43.800542,-79.333176
35200181,54144,43.798759000000004,-79.335307
35200182,65152,43.800077,-79.33754499999999
35200183,66688,43.797858000000005,-79.340375
35200186,64320,43.796061,-79.334435
35200187,54912,43.793374,-79.334109
35200188,57984,43.792356,-79.336345
35200189,71680,43.79083,-79.333789
35200190,79872,43.788940999999994,-79.334204
35200193,81920,43.783865999999996,-79.330146
35200196,68693,43.784290000000006,-79.322912
35200197,119552,43.783905,-79.318608
35200198,119040,43.786724,-79.320828
35200199,121728,43.785495000000004,-79.315461
35200200,103040,43.790374,-79.318579
35200201,96256,43.788368,-79.313239
35200202,113536,43.789875,-79.311249
35200203,84480,43.794243,-79.309933
35200204,77312,43.79306,-79.30765699999999
35200205,84736,43.79493,-79.30579
35200206,105216,43.790778,-79.304867
35200207,94464,43.793374,-79.302133
35200208,107691,43.793073,-79.298524
35200209,79957,43.795258000000004,-79.295757
35200210,61568,43.797554999999996,-79.293098
35200211,63104,43.800428000000004,-79.293273
35200212,77056,43.801919,-79.291651
35200213,78336,43.79338,-79.290335
35200214,85248,43.794639000000004,-79.28466800000001
35200215,75008,43.793678,-79.277586
35200216,76672,43.796203999999996,-79.276883
35200217,63104,43.79313,-79.275033
35200218,60160,43.7899,-79.27490300000001
35200219,93440,43.789557,-79.281532
35200220,81152,43.788702,-79.283775
35200221,52608,43.778739,-79.282411
35200222,48256,43.784108,-79.2876
35200223,81664,43.787372,-79.287808
35200224,68096,43.789681,-79.289467
35200232,51904,43.780392,-79.296993
35200233,62720,43.779076,-79.292978
35200234,73728,43.777223,-79.29415
35200235,58240,43.777858,-79.298839
35200236,73728,43.775108,-79.29766500000001
35200237,76544,43.775121,-79.293471
35200238,67328,43.776146000000004,-79.289018
35200239,71936,43.779693,-79.28870400000001
35200242,79616,43.772653000000005,-79.298927
35200243,75264,43.773019,-79.302072
35200244,76032,43.774986,-79.304014
35200245,71040,43.778329,-79.306648
35200246,67584,43.778624,-79.30210500000001
35200249,49024,43.780561999999996,-79.30563199999999
35200250,84736,43.782437,-79.30649100000001
35200251,80128,43.784599,-79.309477
35200252,110848,43.785862,-79.305756
35200253,55936,43.786203,-79.302623
35200254,123072,43.782828,-79.313458
35200255,118528,43.779536,-79.31173100000001
35200256,73984,43.778401,-79.318148
35200260,78421,43.776032,-79.325429
35200261,57664,43.778489,-79.325886
35200262,95488,43.778029,-79.330373
35200263,96853,43.781221,-79.326674
35200264,97280,43.78111,-79.330134
35200265,81920,43.779908,-79.336966
35200266,94720,43.782384,-79.335257
35200267,64384,43.781896,-79.339547
35200268,65792,43.776629,-79.335798
35200269,94805,43.776496,-79.33322
35200271,46997,43.775137,-79.341259
35200272,51994,43.771996,-79.342587
35200273,49760,43.774665,-79.345285
35200275,126336,43.770639,-79.348557
35200278,138240,43.769517,-79.35364200000001
35200279,107264,43.773174,-79.349631
35200280,47659,43.775548,-79.349203
35200281,59136,43.775631,-79.351804
35200284,60800,43.778498,-79.35213900000001
35200288,110080,43.781975,-79.357047
35200289,99072,43.777198999999996,-79.355428
35200290,104832,43.779839,-79.362801
35200291,103680,43.776422,-79.362374
35200292,68608,43.776269,-79.366275
35200293,88512,43.774021000000005,-79.359523
35200294,123648,43.783437,-79.362607
35200297,73856,43.786357,-79.35854499999999
35200298,84672,43.788271,-79.359427
35200300,53632,43.786715,-79.35068000000001
35200301,87808,43.785084000000005,-79.34726500000001
35200302,91392,43.789932,-79.349887
35200303,89600,43.790858,-79.345366
35200304,84224,43.793214,-79.345739
35200305,65152,43.793599,-79.342446
