NAME,SCHOOL_BOARD,MUN,LATITUDE,LONGITUDE,SCHOOL_TYPE,2013 RATING,2014 RATING,2015 RATING,2016 RATING,2017 RATING,INCOME,INCOME_BINS
BIALIK HEBREW DAY SCH,PR,North York,43.7107150166,-79.4281261382,ELEMENTARY,9.2,8.8,8.9,8.6,8.3,59008.0,2
BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,EP,Scarborough,43.7017499908,-79.2598198285,ELEMENTARY,5.7,4.5,5.4,6.0,6.3,80768.0,4
BIRCH CLIFF PUBLIC SCHOOL,EP,Scarborough,43.691997318,-79.2655718249,ELEMENTARY,6.0,4.8,5.8,6.7,5.9,88320.0,4
BIRCHMOUNT PARK COLLEGIATE INSTITUTE,EP,Scarborough,43.6977616234,-79.2594577219,SECONDARY,4.3,4.3,3.7,4.0,4.4,12432.0,0
BISHOP ALLEN ACADEMY,ES,Etobicoke,43.6344364929,-79.5044679526,SECONDARY,8.0,8.0,8.6,7.8,7.1,120448.0,6
BLANTYRE PUBLIC SCHOOL,EP,Scarborough,43.6851086748,-79.2838678574,ELEMENTARY,6.6,7.2,6.7,6.4,6.2,94336.0,4
BRUCE JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.6610444015,-79.3333392772,ELEMENTARY,4.6,5.3,5.4,6.3,5.6,81664.0,4
BUCHANAN PUBLIC SCHOOL,EP,Scarborough,43.7515342118,-79.2998952835,ELEMENTARY,6.1,4.6,5.4,5.6,2.7,79872.0,3
BURROWS HALL JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.792697958,-79.228818013,ELEMENTARY,6.9,5.7,6.2,6.1,6.3,87296.0,4
C W JEFFERYS COLLEGIATE INSTITUTE,EP,North York,43.757685053,-79.5000938732,SECONDARY,3.7,3.1,5.0,4.9,5.9,68480.0,3
CHARLOTTETOWN JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.782070232,-79.142208961,ELEMENTARY,7.1,7.1,7.2,7.3,7.2,84224.0,4
CHARTLAND JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.7996268603,-79.2779255043,ELEMENTARY,7.7,8.1,8.1,8.5,7.5,80640.0,4
CHEROKEE PUBLIC SCHOOL,EP,North York,43.7987713568,-79.338617981,ELEMENTARY,9.0,10.0,9.2,8.6,7.3,65152.0,3
CHESTER LE JUNIOR PUBLIC SCHOOL,EP,Scarborough,43.798587703,-79.331095334,ELEMENTARY,3.5,5.4,4.7,5.3,0.2,62848.0,3
CHIEF DAN GEORGE PUBLIC SCHOOL,EP,Scarborough,43.8027309297,-79.1638378315,ELEMENTARY,5.4,3.2,4.6,5.2,5.5,57088.0,2
CHINE DRIVE PUBLIC SCHOOL,EP,Scarborough,43.709982589,-79.241796888,ELEMENTARY,7.7,6.6,7.2,7.3,7.9,113920.0,5
CHURCH STREET JUNIOR PUBLIC SCHOOL,EP,former Toronto,43.663608426,-79.37917817,ELEMENTARY,6.6,6.9,6.7,6.6,6.1,30656.0,1
